FID,OBJECTID,NAME,ADMIN_ORG,REGION,STATE,COMMENTS,NO_MAP,LABELS,URL,LATITUDE,LONGITUDE,x,y
48,60,Nyangumarta Rangers,Yamatji Marlpa Aboriginal Corporation,WA - Central and Southern region,WA,Added January 2017,21,21 Nyangumarta Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/nyangumarta-warrarn-ipa-and-rangers,-19.76796389,120.6840667,13434488.851952,-2245563.22820706
49,61,Yugul Mangi Land and Sea Management Rangers,Northern Land Council,NT - Arnhem Land region,NT, ,27,27 Yugul Mangi Land and Sea Management Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/yugul-mangi-rangers,-14.7317,134.7321,14998308.7654878,-1658298.79531742
50,30,Spinifex Rangers,Pila Nguru Aboriginal Corporation RNTBC,WA - Central and Southern region,WA,Added 2018,23,23 Spinifex Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/anangu-tjutaku-ipa-and-spinifex-land-management-rangers,-29.340243,127.095745,14148233.6154398,-3419023.03104148
51,62,Mid West Aboriginal Rangers (3 groups),Northern Agricultural Catchments Council,WA - Central and Southern region,WA,Added 2018,24,24 Mid West Aboriginal Rangers (3 groups),https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/midwest-aboriginal-rangers,-28.344,116.199,12935213.5106487,-3292413.95561209
52,63,Yirrganydji Indigenous Land and Sea Rangers,Dawul Wuru Aboriginal Corporation,Qld - Mainland northern region,QLD,Added 2016,31,31 Yirrganydji Indigenous Land and Sea Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/yirrganydji-indigenous-land-and-sea-rangers,-16.707062,145.611,16209342.3738604,-1886751.81142967
53,64,Ngarrindjeri Rangers,Ngarrindjeri Regional Authority,SA,SA, ,4,4 Ngarrindjeri Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/ngarrindjeri-rangers,-35.742924,139.267113,15503144.1034276,-4265305.52371817
54,65,Raukkan Rangers,Aboriginal Lands Trust of South Australia,SA,SA, ,5,5 Raukkan Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/raukkan-rangers,-35.51719,139.10475,15485069.9368825,-4234389.21836026
55,66,Willandra Lakes Region Indigenous Rangers,NSW National Parks and Wildlife Service,NSW,NSW, ,9,9 Willandra Lakes Region Indigenous Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/willandra-lakes-world-heritage-area-rangers,-33.728595,143.153116,15935731.9785686,-3992416.9255965
56,67,Ngadju Rangers,Ngadju Conservation Aboriginal Corporation,WA - Central and Southern region,WA,Added 2018,25,25 Ngadju Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/ngadju-ipa-and-rangers,-32.196,121.778,13556264.9498566,-3789066.26035522
57,68,Kiwirrkurra Rangers,Desert Support Services,WA - Central and Southern region,WA,Added 2018,26,26 Kiwirrkurra Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/kiwirrkurra-ipa-and-rangers,-22.87334797,127.5011344,14193361.3569875,-2616709.38571131
58,69,Mangarrayi Rangers,Jawoyn Association Aboriginal Corporation,NT - Top End region,NT, ,34,34 Mangarrayi Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/mangarrayi-rangers,-15.16519268,133.42299571,14852579.9421815,-1708245.38839428
59,127,Tjakura Rangers,Central Land Council,NT - Central Australian region,NT,Added 2018,35,35 Tjakura Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/katiti-petermann-ipa-kaltukatjara-rangers-and-mutijulu-tjakura-rangers,-25.3506953,131.0673596,14590351.7302759,-2918881.49893576
60,70,Australian Landscapes Trust Ranger Team,Aboriginal Lands Trust of South Australia,SA,SA, ,6,6 Australian Landscapes Trust Ranger Team,https://www.niaa.gov.au/indigenous-affairs/environment/yappala-ipa,-34.04243637,140.70519976,15663231.1898454,-4034501.61741369
61,71,Yalata Rangers,Yalata Anangu Aboriginal Corporation,SA,SA, ,7,7 Yalata Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/yalata-ipa-and-rangers,-31.47211,131.84215,14676601.0030484,-3694214.59429221
62,72,Barkindji Maraura Elders Environment Rangers,Barkindji Maraura Elders Environment Team Ltd,NSW,NSW, ,10,10 Barkindji Maraura Elders Environment Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/barkindji-maraura-rangers,-34.029153,142.029104,15810607.5350993,-4032717.2338494
63,73,Asyrikarrak Kirim Rangers,Deewin Kirim Aboriginal Corporation,NT - Top End region,NT,Added 2018,36,36 Asyrikarrak Kirim Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/asyrikarrak-kirim-rangers,-14.4105556,130.2213889,14496178.7027161,-1621361.04798865
64,74,Gamay Rangers,La Perouse Local Aboriginal Land Council,NSW,NSW,Added 2018,7,7 Gamay Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/gamay-botany-bay-rangers,-33.9821658,151.2303496,16834885.5099779,-4026407.5801423
65,75,Oak Valley Rangers,Oak Valley (Maralinga) Aboriginal Corporation,SA,SA,Added 2018,8,8 Oak Valley Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/oak-valley-rangers,-29.400767,130.740221,14553934.8279311,-3426754.25428035
