FID,OBJECTID,NAME,ADMIN_ORG,REGION,STATE,COMMENTS,NO_MAP,LABELS,URL,LATITUDE,LONGITUDE,x,y
119,14,Yawuru Rangers,Nyamba Buru Yawuru Ltd,WA - Kimberley region,WA,Added 14 August 2020,27,27 Yawuru Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/yawuru-ipa-and-rangers,-17.96065779,122.21472121,13604880.5320292,-2032944.12222812
120,31,Barkandji River Rangers,Barkandji Native Title Group Aboriginal Corporation,NSW,NSW,Added 14 August 2020,8,8 Barkandji River Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/barkandji-rangers,-32.39305862,142.416226,15853701.7589897,-3815016.98878496
121,32,Wellesley Islands Rangers,Wellesley Islands Land and Sea Social Economic Development PTY LTD,Qld - Mainland northern region,QLD,Added 22 March 2021,33,33 Wellesley Islands Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/thuwathu-bujimulla-ipa-and-wellesley-islands-rangers,-16.66205366,139.17849112,15493278.7610958,-1881521.30051438
122,117,Coorong and Murray Lower Lakes Area Rangers,Aboriginal Lands Trust of South Australia,SA,SA,"Note: Two groups, Added 22 March 2021",10,10 Coorong and Murray Lower Lakes Area Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/raukkan-rangers,-35.11984629,139.2735556,15503861.2900949,-4180179.72645008
123,33,River Murray and Mallee Aboriginal Corporation Ranger Team,Murraylands and Riverland Landscape Board,SA,SA, ,11,11 River Murray and Mallee Aboriginal Corporation Ranger Team,https://www.niaa.gov.au/indigenous-affairs/environment/riverland-rangers,-34.17207402,140.74648768,15667827.3388856,-4051930.83181857
124,118,Northern Gomeroi River Rangers,National Indigenous Australians Agency,NSW,NSW,Murray Darling Ranger Program (separate program from IRP),5,5 Northern Gomeroi River Rangers,https://www.niaa.gov.au/sites/default/files/murray-darling-basin-indigenous-river-rangers-program.docx,-28.60081181,150.36249861,16738276.7799279,-3324935.77125508
125,119,Ngarrangarra-li Walaaybaa Walgett River Rangers,National Indigenous Australians Agency,NSW,NSW,Murray Darling Ranger Program (separate program from IRP),4,4 Ngarrangarra-li Walaaybaa Walgett River Rangers,https://www.niaa.gov.au/sites/default/files/murray-darling-basin-indigenous-river-rangers-program.docx,-30.01900007,148.14100006,16490980.6921526,-3505992.35917736
126,119,Ngarrangarra-li Walaaybaa Walgett River Rangers,National Indigenous Australians Agency,NSW,NSW,Murray Darling Ranger Program (separate program from IRP),4,4 Ngarrangarra-li Walaaybaa Walgett River Rangers,https://www.niaa.gov.au/sites/default/files/murray-darling-basin-indigenous-river-rangers-program.docx,-30.01900007,148.14100006,16449808.2171979,-3468874.61103331
127,121,Lindsay Mulcra and Wallpolla Islands River Rangers,National Indigenous Australians Agency,NSW,NSW,Murray Darling Ranger Program (separate program from IRP),1,1 Lindsay Mulcra and Wallpolla Islands River Rangers,https://www.niaa.gov.au/sites/default/files/murray-darling-basin-indigenous-river-rangers-program.docx,-34.10299992,141.74899992,15779426.4913289,-4042640.79791675
128,122,Gayini River Rangers,National Indigenous Australians Agency,NSW,NSW,Murray Darling Ranger Program (separate program from IRP),2,2 Gayini River Rangers,https://www.niaa.gov.au/sites/default/files/murray-darling-basin-indigenous-river-rangers-program.docx,-34.49931613,143.83996456,16012191.609954,-4096046.66637923
129,123,Yarkuwa Indigenous River Rangers,National Indigenous Australians Agency,NSW,NSW,Murray Darling Ranger Program (separate program from IRP),3,3 Yarkuwa Indigenous River Rangers,https://www.niaa.gov.au/sites/default/files/murray-darling-basin-indigenous-river-rangers-program.docx,-35.28434571,144.24276231,16057030.8507344,-4202590.04505077
130,113,"Kurtijar, Gkuthaarn, and Kukatj (Normanton) Rangers",Carpentaria Land Council Aboriginal Corporation,Qld - Mainland northern region,QLD,Added 2016,5,"5 Kurtijar, Gkuthaarn, and Kukatj (Normanton) Rangers",https://www.niaa.gov.au/indigenous-affairs/environment/normanton-rangers,-17.6667,141.067,15703507.4939288,-1998571.3870623
